Date;TS;Temp;RH;VPD;SR;WS
22/09/2023;10:15:00;24.63;100%;;46.94;0
22/09/2023;10:30:00;24.91;100%;;60.35;0
22/09/2023;10:45:00;25.03;100%;;67.05;0
22/09/2023;11:00:00;25.22;100%;;70.74;0
22/09/2023;11:15:00;25.25;100%;;91.6;0
22/09/2023;11:30:00;25.38;100%;;95.3;0
22/09/2023;11:45:00;25.49;100%;;84.2;0.332
22/09/2023;12:00:00;25.17;100%;;97.3;0.92
22/09/2023;12:15:00;25.4;100%;;100.5;0.933
22/09/2023;12:30:00;25.23;100%;;120.7;0
22/09/2023;12:45:00;25.21;100%;;114;0.554
22/09/2023;13:00:00;25.38;100%;;122.8;3.192
22/09/2023;13:15:00;25.45;100%;;154.5;1.999
22/09/2023;13:30:00;25.55;100%;;74.41;1.013
22/09/2023;13:45:00;25.77;100%;;151.7;2.1
22/09/2023;14:00:00;25.47;100%;;110.9;1.679
22/09/2023;14:15:00;25.84;100%;;99.4;0.356
22/09/2023;14:30:00;26.15;100%;;121.9;0.818
22/09/2023;14:45:00;25.85;100%;;80.3;0
22/09/2023;15:00:00;25.99;100%;;120.6;0.002
22/09/2023;15:15:00;26.1;99.20%;;80.2;0
22/09/2023;15:30:00;26.22;98.90%;;98.7;0
22/09/2023;15:45:00;26.37;99%;;87.1;0
22/09/2023;16:00:00;26.47;98.10%;;87.1;0
22/09/2023;16:15:00;26.71;97.70%;;87.1;0
22/09/2023;16:30:00;26.78;97.50%;;93;0
22/09/2023;16:45:00;26.91;96.50%;;86;0
22/09/2023;17:00:00;26.98;94.10%;;87.1;0
22/09/2023;17:15:00;27.21;94.80%;;93.8;0
22/09/2023;17:30:00;27.36;94.40%;;75.62;0
22/09/2023;17:45:00;27.3;94.20%;;46.91;0
22/09/2023;18:00:00;27.13;93%;;40.21;0
22/09/2023;18:15:00;27.04;92.30%;;33.51;0
22/09/2023;18:30:00;26.87;91.10%;;26.81;0
22/09/2023;18:45:00;26.57;91.30%;;14.97;0
